Frequenza_Hz;Amp_Ideale_dB;Amp_Distorta_dB;Fase_Ideale_deg;Fase_Distorta_deg;Errore_Amp_dB;Errore_Fase_deg
34891.012134;-31.552348;-31.636522;-88.484500;-88.755707;-0.084174;-0.271206
36969.127072;-32.054528;-32.244792;-88.569653;-88.857013;-0.190264;-0.287359
39171.014908;-32.556745;-32.534909;-88.650026;-88.954500;0.021836;-0.304475
41504.047579;-33.058994;-33.141592;-88.725885;-89.048494;-0.082598;-0.322609
43976.036093;-33.561272;-33.607137;-88.797484;-89.139308;-0.045865;-0.341824
46595.256687;-34.063576;-34.133643;-88.865062;-89.227245;-0.070067;-0.362183
49370.478528;-34.565902;-34.584850;-88.928844;-89.312598;-0.018948;-0.383755
52310.993081;-35.068249;-34.940454;-88.989043;-89.395654;0.127795;-0.406611
55426.645207;-35.570614;-35.552485;-89.045860;-89.476689;0.018129;-0.430829
58727.866132;-36.072995;-36.097156;-89.099485;-89.555975;-0.024161;-0.456489
62225.708367;-36.575390;-36.730470;-89.150098;-89.633775;-0.155080;-0.483678
65931.882713;-37.077798;-37.343561;-89.197866;-89.710352;-0.265763;-0.512486
69858.797468;-37.580218;-37.662395;-89.242950;-89.785960;-0.082177;-0.543009
74019.599969;-38.082648;-38.093782;-89.285501;-89.860852;-0.011135;-0.575351
78428.220613;-38.585086;-38.266473;-89.325661;-89.935280;0.318613;-0.609619
83099.419494;-39.087533;-39.063669;-89.363564;-90.009492;0.023864;-0.645928
88048.835816;-39.589987;-39.390225;-89.399337;-90.083736;0.199762;-0.684400
93293.040263;-40.092448;-40.204144;-89.433099;-90.158262;-0.111696;-0.725163
98849.590466;-40.594914;-40.876293;-89.464964;-90.233317;-0.281379;-0.768354
104737.089796;-41.097385;-41.339780;-89.495038;-90.309155;-0.242395;-0.814117
110975.249641;-41.599861;-41.792491;-89.523421;-90.386027;-0.192630;-0.862606
117584.955405;-42.102340;-41.533719;-89.550210;-90.464193;0.568621;-0.913983
124588.336430;-42.604824;-42.850042;-89.575492;-90.543912;-0.245219;-0.968420
132008.840083;-43.107310;-42.851717;-89.599354;-90.625453;0.255594;-1.026099
139871.310265;-43.609800;-43.913069;-89.621875;-90.709088;-0.303269;-1.087214
148202.070580;-44.112291;-43.794295;-89.643129;-90.795098;0.317996;-1.151968
157029.012473;-44.614786;-44.474564;-89.663189;-90.883769;0.140221;-1.220580
166381.688608;-45.117282;-45.179608;-89.682122;-90.975400;-0.062326;-1.293278
176291.411810;-45.619780;-45.637455;-89.699990;-91.070296;-0.017675;-1.370306
186791.359902;-46.122279;-46.415609;-89.716854;-91.168775;-0.293330;-1.451921
197916.686785;-46.624780;-46.420202;-89.732770;-91.271168;0.204578;-1.538398
209704.640132;-47.127282;-47.355338;-89.747791;-91.377817;-0.228055;-1.630025
222194.686094;-47.629786;-48.295906;-89.761968;-91.489078;-0.666121;-1.727110
235428.641432;-48.132290;-48.871170;-89.775349;-91.605325;-0.738880;-1.829977
249450.813523;-48.634795;-48.534649;-89.787977;-91.726947;0.100147;-1.938970
264308.148697;-49.137302;-48.207597;-89.799895;-91.854351;0.929705;-2.054456
280050.389418;-49.639808;-49.535536;-89.811143;-91.987962;0.104273;-2.176819
296730.240819;-50.142316;-50.226007;-89.821759;-92.128230;-0.083692;-2.306471
314403.547159;-50.644824;-50.436405;-89.831778;-92.275623;0.208418;-2.443845
333129.478793;-51.147332;-50.180222;-89.841234;-92.430635;0.967111;-2.589401
352970.730273;-51.649841;-51.469981;-89.850159;-92.593785;0.179860;-2.743626
373993.730248;-52.152350;-52.522040;-89.858582;-92.765618;-0.369690;-2.907036
396268.863870;-52.654860;-51.680728;-89.866531;-92.946711;0.974132;-3.080180
419870.708444;-53.157370;-52.744258;-89.874034;-93.137670;0.413112;-3.263636
444878.283113;-53.659880;-52.185569;-89.881114;-93.339133;1.474311;-3.458018
471375.313412;-54.162391;-53.961915;-89.887797;-93.551776;0.200476;-3.663978
499450.511586;-54.664902;-56.238146;-89.894104;-93.776310;-1.573245;-3.882205
529197.873596;-55.167413;-57.063682;-89.900057;-94.013487;-1.896269;-4.113430
560716.993821;-55.669924;-53.727116;-89.905675;-94.264101;1.942808;-4.358426
594113.398497;-56.172435;-54.046586;-89.910977;-94.528992;2.125848;-4.618014
629498.899022;-56.674946;-56.945326;-89.915981;-94.809045;-0.270379;-4.893064
666991.966303;-57.177458;-57.800923;-89.920704;-95.105199;-0.623465;-5.184495
706718.127393;-57.679970;-55.537996;-89.925162;-95.418445;2.141973;-5.493283
748810.385759;-58.182481;-60.391460;-89.929368;-95.749832;-2.208979;-5.820464
793409.666580;-58.684993;-60.540062;-89.933339;-96.100469;-1.855068;-6.167130
840665.288562;-59.187505;-58.000659;-89.937086;-96.471530;1.186846;-6.534444
890735.463861;-59.690017;-60.559437;-89.940623;-96.864258;-0.869420;-6.923636
943787.827778;-60.192529;-60.204433;-89.943960;-97.279967;-0.011904;-7.336007
1000000.000000;-60.695041;-61.088880;-89.947110;-97.720049;-0.393839;-7.772939
